pico,large,micro,meso
14770000000000,8028000000000,12810000000000,10040000000000
14580000000000,9100000000000,13490000000000,12700000000000
17060000000000,7322000000000,12180000000000,14420000000000
16590000000000,6891000000000,11870000000000,14230000000000
16070000000000,6320000000000,11600000000000,13090000000000
15380000000000,6388000000000,11790000000000,12320000000000
15270000000000,5977000000000,11440000000000,11800000000000
14460000000000,5560000000000,11020000000000,11040000000000
13560000000000,4992000000000,10360000000000,10140000000000
12770000000000,4778000000000,10040000000000,9589000000000
12740000000000,4962000000000,10050000000000,9218000000000
13840000000000,6195000000000,11460000000000,9441000000000
14440000000000,8123000000000,13320000000000,10830000000000
15540000000000,9185000000000,13560000000000,13090000000000
15920000000000,8181000000000,12620000000000,14800000000000
17040000000000,6777000000000,11820000000000,14480000000000
15950000000000,6498000000000,11890000000000,13540000000000
15650000000000,6484000000000,11970000000000,12850000000000
15210000000000,6089000000000,11600000000000,12230000000000
14460000000000,5534000000000,11150000000000,11030000000000
13500000000000,5109000000000,10420000000000,10260000000000
12710000000000,4757000000000,9941000000000,9535000000000
12600000000000,4778000000000,10120000000000,9169000000000
13120000000000,5688000000000,11080000000000,9305000000000
13910000000000,6848000000000,12330000000000,10220000000000
15000000000000,7704000000000,12820000000000,12000000000000
15720000000000,7094000000000,12370000000000,13140000000000
16140000000000,6277000000000,11490000000000,12690000000000
15620000000000,5796000000000,11360000000000,11470000000000
15090000000000,5482000000000,11170000000000,10710000000000
14740000000000,4952000000000,10900000000000,9607000000000
14010000000000,4530000000000,10470000000000,8718000000000
13090000000000,3973000000000,9666000000000,7835000000000
12410000000000,3398000000000,8951000000000,6964000000000
12840000000000,3855000000000,9918000000000,6799000000000
13880000000000,5884000000000,11660000000000,7963000000000
16060000000000,8365000000000,13120000000000,9816000000000
16910000000000,10154000000000,14510000000000,12320000000000
16790000000000,8625000000000,13110000000000,15340000000000
18160000000000,6315000000000,12160000000000,15260000000000
16820000000000,5986000000000,11720000000000,13790000000000
15880000000000,6009000000000,11800000000000,12810000000000
15360000000000,5584000000000,11470000000000,11950000000000
14550000000000,5181000000000,11070000000000,10940000000000
13550000000000,4911000000000,10540000000000,10410000000000
12740000000000,4660000000000,10090000000000,9818000000000
12660000000000,4822000000000,10100000000000,9494000000000
13420000000000,5680000000000,11220000000000,9751000000000
14310000000000,7065000000000,12530000000000,11170000000000
15590000000000,7814000000000,12940000000000,12980000000000
16300000000000,7464000000000,12770000000000,14550000000000
16200000000000,6936000000000,12540000000000,14410000000000
15810000000000,6572000000000,12140000000000,13660000000000
15600000000000,6357000000000,12080000000000,12690000000000
15030000000000,5987000000000,11740000000000,12010000000000
14350000000000,5341000000000,11080000000000,10940000000000
13290000000000,4966000000000,10570000000000,10170000000000
12640000000000,4469000000000,9843000000000,9410000000000
12600000000000,4542000000000,10170000000000,8817000000000
13550000000000,5799000000000,11730000000000,9190000000000
13760000000000,7506000000000,13120000000000,10520000000000
15380000000000,7491000000000,12860000000000,12320000000000
15670000000000,7302000000000,12760000000000,13430000000000
16360000000000,6404000000000,11610000000000,13220000000000
15710000000000,5983000000000,11620000000000,12070000000000
15280000000000,5988000000000,11670000000000,11460000000000
15040000000000,5688000000000,11470000000000,10940000000000
14350000000000,5234000000000,10890000000000,10250000000000
13470000000000,4677000000000,10220000000000,9504000000000
12640000000000,4098000000000,9538000000000,8483000000000
12660000000000,4546000000000,10140000000000,8115000000000
13510000000000,6014000000000,11340000000000,8690000000000
15180000000000,7889000000000,12690000000000,10050000000000
15000000000000,9329000000000,13800000000000,12370000000000
16420000000000,7287000000000,12040000000000,14460000000000
16630000000000,6287000000000,11750000000000,13860000000000
15920000000000,6109000000000,11610000000000,12710000000000
15240000000000,6058000000000,11590000000000,11870000000000
15020000000000,5723000000000,11280000000000,11430000000000
14290000000000,5194000000000,10750000000000,10410000000000
13460000000000,4768000000000,10180000000000,9488000000000
12430000000000,4373000000000,9536000000000,8722000000000
12620000000000,4288000000000,9650000000000,8214000000000
13570000000000,5658000000000,11350000000000,8433000000000
14230000000000,8078000000000,12980000000000,9949000000000
15000000000000,8997000000000,13530000000000,12430000000000
16390000000000,7926000000000,12420000000000,14340000000000
17340000000000,6505000000000,11790000000000,14670000000000
16350000000000,5992000000000,11840000000000,13230000000000
15460000000000,5880000000000,11590000000000,12080000000000
15360000000000,5509000000000,11320000000000,11300000000000
14380000000000,5110000000000,10780000000000,10310000000000
13500000000000,4642000000000,10200000000000,9473000000000
12840000000000,4302000000000,9691000000000,8842000000000
12810000000000,4653000000000,10090000000000,8881000000000
13370000000000,5724000000000,11430000000000,9289000000000
14330000000000,7608000000000,12750000000000,10560000000000
15330000000000,8435000000000,13190000000000,12910000000000
16350000000000,7576000000000,12500000000000,14350000000000
16500000000000,6834000000000,12040000000000,14460000000000
16000000000000,6561000000000,12090000000000,13550000000000
15600000000000,6564000000000,12180000000000,12970000000000
15310000000000,6193000000000,11790000000000,12440000000000
14410000000000,5665000000000,11340000000000,11380000000000
13520000000000,5421000000000,10790000000000,10840000000000
